question,options,correct_answer,category,difficulty,fun_fact,source,grade_range,active
"Which programming concept allows a function to call itself?","[""Iteration"",""Polymorphism"",""Recursion"",""Encapsulation""]",2,Technology,hard,"Recursion requires a base case to stop infinite loops. It is used in algorithms like merge sort and quicksort.",Khan Academy – Recursion,Y6-Y11,true
"What does DNS stand for in networking?","[""Data Network System"",""Domain Name System"",""Digital Node Server"",""Dynamic Network Service""]",1,Technology,hard,"DNS translates human-readable domain names like google.com into machine-readable IP addresses.",ICANN – How DNS Works,Y6-Y11,true
"In machine learning, what is overfitting?","[""When a model trains too slowly"",""When a model performs well on training data but poorly on new data"",""When a model runs out of memory"",""When a model has too few parameters""]",1,Technology,hard,"Overfitting happens when a model memorises training data instead of learning general patterns.",Google – Machine Learning Crash Course,Y6-Y11,true
"Which data structure operates on a LIFO (Last In First Out) principle?","[""Queue"",""Linked list"",""Stack"",""Binary tree""]",2,Technology,hard,"A stack works like a stack of plates: you add and remove from the top. Used in browser history and undo functions.",Khan Academy – Stacks,Y6-Y11,true
"What is the name of the protocol that automatically assigns IP addresses to devices on a network?","[""DNS"",""FTP"",""DHCP"",""SMTP""]",2,Technology,hard,"DHCP (Dynamic Host Configuration Protocol) automatically configures network settings so devices can communicate.",Cisco – DHCP Explained,Y6-Y11,true
"What does 'SQL' stand for?","[""Standard Query Language"",""Structured Query Language"",""Sequential Query Language"",""System Query Logic""]",1,Technology,hard,"SQL is used to manage and query relational databases. It is essential for backend development and data analysis.",W3Schools – SQL Introduction,Y6-Y11,true
"What is the purpose of hashing in computer security?","[""Encrypting files for transmission"",""Converting data into a fixed-length value for integrity verification"",""Compressing data for storage"",""Generating random passwords""]",1,Technology,hard,"Hash functions like SHA-256 are one-way — you cannot reverse them to find the original data.",NIST – Cryptographic Hash Functions,Y6-Y11,true
"What is the OSI model used for in networking?","[""To encrypt all internet data"",""To provide a layered framework for network communication"",""To store data in the cloud"",""To compress website images""]",1,Technology,hard,"The OSI model has 7 layers: Physical, Data Link, Network, Transport, Session, Presentation, Application.",Cisco – OSI Model,Y6-Y11,true
"What is the name of the encryption algorithm widely used to secure internet communications?","[""MD5"",""SHA-256"",""AES"",""Base64""]",2,Technology,hard,"AES (Advanced Encryption Standard) is used to protect everything from banking to government data.",NIST – AES Standard,Y6-Y11,true
"What is a baby kangaroo called?","[""Cub"",""Joey"",""Foal"",""Kit""]",1,Animals,easy,"A joey is only 2 cm long at birth and crawls into its mother's pouch to continue developing.",Australian Museum – Kangaroos,Y6-Y11,true
"What do giant pandas mainly eat?","[""Fish"",""Bamboo"",""Insects"",""Fruit""]",1,Animals,easy,"Pandas spend up to 14 hours a day eating bamboo and must consume 12–38 kg of it daily.",WWF – Giant Panda,Y6-Y11,true
"How many humps does a Bactrian camel have?","[""0"",""1"",""2"",""3""]",2,Animals,easy,"Bactrian camels have two humps; dromedary camels have one. The humps store fat for energy, not water.",National Geographic – Camels,Y6-Y11,true
"What is the largest fish in the ocean?","[""Great White Shark"",""Blue Whale"",""Whale Shark"",""Manta Ray""]",2,Animals,easy,"The whale shark can grow up to 18 metres long. It is a gentle filter feeder that eats tiny plankton.",National Geographic – Whale Shark,Y6-Y11,true
"Which bird is known for its ability to mimic human speech?","[""Eagle"",""Penguin"",""Parrot"",""Flamingo""]",2,Animals,easy,"African Grey parrots have been recorded learning over 1,000 words and can understand basic concepts.",National Geographic – Parrots,Y6-Y11,true
"What is a female lion called?","[""Tigress"",""Lioness"",""Puma"",""Cougar""]",1,Animals,easy,"Lionesses do most of the hunting for the pride and are generally faster than male lions.",National Geographic – Lions,Y6-Y11,true
"What is the fastest land animal?","[""Lion"",""Horse"",""Greyhound"",""Cheetah""]",3,Animals,easy,"A cheetah can reach 112 km/h in short bursts and accelerate from 0 to 100 km/h in 3 seconds.",National Geographic – Cheetah,Y6-Y11,true
"How many legs does an insect have?","[""4"",""6"",""8"",""10""]",1,Animals,easy,"All insects have 6 legs. Spiders have 8 legs and are arachnids, not insects.",BBC Bitesize – Insect Classification,Y6-Y11,true
"What do you call a group of wolves?","[""Pride"",""Pack"",""Herd"",""Flock""]",1,Animals,easy,"A wolf pack is typically a family unit led by an alpha pair. Packs cooperate to hunt large prey.",National Geographic – Wolves,Y6-Y11,true
"What is the largest land animal?","[""Hippopotamus"",""Giraffe"",""African Elephant"",""White Rhinoceros""]",2,Animals,easy,"African elephants can weigh up to 6 tonnes and are highly intelligent animals with long memories.",WWF – African Elephant,Y6-Y11,true
"What is the gestation period of an elephant?","[""9 months"",""15 months"",""22 months"",""30 months""]",2,Animals,medium,"At 22 months, the elephant has the longest gestation of any land animal. Calves weigh about 120 kg at birth.",WWF – Elephants,Y6-Y11,true
"What is the process by which a caterpillar transforms into a butterfly called?","[""Metamorphosis"",""Hibernation"",""Mutation"",""Evolution""]",0,Animals,medium,"During metamorphosis the caterpillar forms a chrysalis inside which its body completely reorganises.",National Geographic – Butterflies,Y6-Y11,true
"What is the only mammal capable of sustained powered flight?","[""Flying squirrel"",""Flying fox"",""Bat"",""Sugar glider""]",2,Animals,medium,"Bats use echolocation — emitting high-frequency sound and listening to echoes — to navigate in darkness.",BBC Wildlife – Bats,Y6-Y11,true
"What is the term for animals that are active during the night?","[""Diurnal"",""Migratory"",""Nocturnal"",""Territorial""]",2,Animals,medium,"Nocturnal animals like owls and bats have evolved larger eyes or ears to navigate in low-light conditions.",National Geographic – Nocturnal Animals,Y6-Y11,true
"Which animal produces the loudest sound in the animal kingdom?","[""Elephant"",""Sperm Whale"",""Blue Whale"",""Lion""]",2,Animals,medium,"A blue whale's call can reach 188 decibels and travel up to 800 km through the ocean.",National Geographic – Blue Whale,Y6-Y11,true
"What is the name of the critically endangered primate found only on Cát Bà Island in Vietnam?","[""Golden snub-nosed monkey"",""Cát Bà langur"",""François langur"",""Tonkin snub-nosed monkey""]",1,Animals,medium,"The Cát Bà langur has fewer than 70 individuals remaining, making it one of the world's rarest primates.",WWF Vietnam – Cát Bà Langur,Y6-Y11,true
"What is the world's most venomous fish?","[""Lionfish"",""Pufferfish"",""Stonefish"",""Triggerfish""]",2,Animals,medium,"The stonefish is nearly invisible on the seabed and its venomous spines can cause extreme pain and death.",Australian Institute of Marine Science,Y6-Y11,true
"What is the scientific study of animals called?","[""Botany"",""Geology"",""Zoology"",""Ecology""]",2,Animals,medium,"Zoology covers everything from animal behaviour and physiology to evolution and classification.",Khan Academy – Classification of Life,Y6-Y11,true
"What term describes the relationship where both organisms benefit from each other?","[""Commensalism"",""Parasitism"",""Mutualism"",""Amensalism""]",2,Animals,medium,"An example is the clownfish and sea anemone — the fish protects the anemone and gets shelter in return.",National Geographic – Symbiosis,Y6-Y11,true
"What is the average lifespan of a worker honeybee in summer?","[""6 days"",""6 weeks"",""6 months"",""6 years""]",1,Animals,medium,"Worker bees live only 6 weeks in summer due to the intense effort of foraging. Winter bees live 4–6 months.",BBC Wildlife – Bees,Y6-Y11,true
"What is the name of the protein that makes up bird feathers and human fingernails?","[""Collagen"",""Keratin"",""Elastin"",""Fibrin""]",1,Animals,hard,"Keratin is a structural protein also found in hair, hooves, horns, and reptile scales.",National Geographic – Keratin,Y6-Y11,true
"Which order do bats belong to in animal classification?","[""Rodentia"",""Chiroptera"",""Insectivora"",""Carnivora""]",1,Animals,hard,"Chiroptera means 'hand-wing' in Greek. Bats are the only mammals with true powered flight.",BBC Wildlife – Bat Classification,Y6-Y11,true
"How many hearts does an octopus have?","[""1"",""2"",""3"",""4""]",2,Animals,hard,"Two branchial hearts pump blood through the gills; one systemic heart pumps it to the rest of the body.",National Geographic – Octopus,Y6-Y11,true
"What is the process called when a snake sheds its skin?","[""Hibernation"",""Aestivation"",""Ecdysis"",""Moulting""]",2,Animals,hard,"Snakes shed their skin (ecdysis) several times a year as they grow. The old skin comes off in one piece.",National Geographic – Snakes,Y6-Y11,true
"What is the binomial nomenclature (scientific name) for the domestic dog?","[""Canis familiaris"",""Felis catus"",""Vulpes vulpes"",""Panthera leo""]",0,Animals,hard,"Canis lupus familiaris is the full scientific name. Dogs are a domesticated subspecies of the grey wolf.",ITIS – Canis familiaris,Y6-Y11,true
"Which bird has the longest wingspan of any living bird?","[""Bald Eagle"",""Wandering Albatross"",""California Condor"",""Marabou Stork""]",1,Animals,hard,"The wandering albatross has a wingspan of up to 3.7 metres and can fly thousands of kilometres without landing.",BirdLife International,Y6-Y11,true
"What type of animal is a Komodo dragon?","[""Crocodilian"",""Monitor lizard"",""Gecko"",""Iguana""]",1,Animals,hard,"Komodo dragons are the world's largest living lizards, growing up to 3 metres. Found only in Indonesia.",National Geographic – Komodo Dragon,Y6-Y11,true
"What is the term for an animal that only eats plants?","[""Carnivore"",""Omnivore"",""Herbivore"",""Detritivore""]",2,Animals,hard,"Herbivores have evolved specialised teeth and digestive systems to break down tough plant material.",Khan Academy – Food Chains,Y6-Y11,true
"What is the name of the venomous mammal that has a duck bill and lays eggs?","[""Echidna"",""Wombat"",""Platypus"",""Quoll""]",2,Animals,hard,"The platypus is one of only five monotreme species. Males have venomous spurs on their hind legs.",Australian Museum – Platypus,Y6-Y11,true
"Which animal is known to have the longest lifespan of any vertebrate?","[""Galapagos Tortoise"",""Bowhead Whale"",""Greenland Shark"",""Ocean Quahog Clam""]",2,Animals,hard,"Greenland sharks can live over 400 years, reaching sexual maturity only around age 150.",Science – Greenland Shark Longevity Study,Y6-Y11,true
"Which animated film features the characters Woody and Buzz Lightyear?","[""A Bugs Life"",""Monsters Inc."",""Cars"",""Toy Story""]",3,Movies,easy,"Toy Story (1995) was the world's first fully computer-animated feature film.",Pixar – Toy Story,Y6-Y11,true
"What is the name of the school Harry Potter attends?","[""Beauxbatons"",""Durmstrang"",""Hogwarts"",""Ilvermorny""]",2,Movies,easy,"Hogwarts School of Witchcraft and Wizardry is divided into four houses: Gryffindor, Slytherin, Hufflepuff, and Ravenclaw.",J.K. Rowling – Pottermore,Y6-Y11,true
"In 'Frozen', what is the name of Elsa's sister?","[""Moana"",""Rapunzel"",""Anna"",""Merida""]",2,Movies,easy,"Anna and Elsa are based loosely on characters from Hans Christian Andersen's story 'The Snow Queen'.",Disney – Frozen,Y6-Y11,true
"Which superhero is known as the Man of Steel?","[""Batman"",""Iron Man"",""Superman"",""Thor""]",2,Movies,easy,"Superman was created in 1933 by Jerry Siegel and Joe Shuster, making him one of the first superheroes.",DC Comics – Superman,Y6-Y11,true
"What is the name of the villain in 'The Lion King'?","[""Zazu"",""Timon"",""Scar"",""Pumba""]",2,Movies,easy,"Scar is Mufasa's younger brother who plots to take over Pride Rock. His real name is Taka.",Disney – The Lion King,Y6-Y11,true
"Which animated Disney movie is set in Hawaii?","[""Lilo and Stitch"",""Moana"",""Encanto"",""Coco""]",0,Movies,easy,"Lilo & Stitch (2002) was praised for its realistic portrayal of Hawaiian culture and the spirit of ohana (family).",Disney – Lilo and Stitch,Y6-Y11,true
"In which movie does the character Jack Sparrow appear?","[""Indiana Jones"",""Pirates of the Caribbean"",""The Mummy"",""Treasure Island""]",1,Movies,easy,"Captain Jack Sparrow, played by Johnny Depp, first appeared in Pirates of the Caribbean: The Curse of the Black Pearl (2003).",Disney,Y6-Y11,true
"What city does Spider-Man's Peter Parker live in?","[""Gotham City"",""Metropolis"",""New York City"",""Star City""]",2,Movies,easy,"Spider-Man mostly operates in the Queens and Manhattan areas of New York City.",Marvel Comics – Spider-Man,Y6-Y11,true
"What is the name of the fictional kingdom in 'Frozen'?","[""Arendelle"",""Avalon"",""Agrabah"",""Aldovia""]",0,Movies,easy,"Arendelle is inspired by Norway — the film's visuals were based on the fjords and architecture of Bergen.",Disney – Frozen Production,Y6-Y11,true
"Which animated studio produced 'Spirited Away'?","[""Pixar"",""DreamWorks"",""Studio Ghibli"",""Sony Animation""]",2,Movies,easy,"Studio Ghibli was founded in 1985 by Hayao Miyazaki and Isao Takahata in Japan.",Studio Ghibli,Y6-Y11,true
"Which film won the Academy Award for Best Picture at the 2020 Oscars?","[""1917"",""Joker"",""Once Upon a Time in Hollywood"",""Parasite""]",3,Movies,medium,"Parasite became the first non-English language film to win Best Picture at the Academy Awards.",Academy of Motion Picture Arts and Sciences,Y6-Y11,true
"Who directed the 2010 film 'Inception'?","[""Steven Spielberg"",""James Cameron"",""Christopher Nolan"",""Ridley Scott""]",2,Movies,medium,"Christopher Nolan is known for mind-bending films including Memento, The Dark Knight, and Interstellar.",IMDb – Christopher Nolan,Y6-Y11,true
"In which language was the award-winning film 'Parasite' (2019) filmed?","[""Japanese"",""Mandarin"",""Korean"",""Thai""]",2,Movies,medium,"Parasite was directed by Bong Joon-ho and is a South Korean film. It was a global box-office hit.",IMDb – Parasite,Y6-Y11,true
"Which Vietnamese film was nominated for Best Foreign Language Film at the Academy Awards in 1993?","[""The Scent of Green Papaya"",""Cyclo"",""The Third Wife"",""Furie""]",0,Movies,medium,"The Scent of Green Papaya, directed by Trần Anh Hùng, was the first Vietnamese film Oscar-nominated.",Academy of Motion Picture Arts and Sciences,Y6-Y11,true
"In which movie does Tom Hanks play a man stranded alone on an island?","[""Forrest Gump"",""Philadelphia"",""Cast Away"",""The Terminal""]",2,Movies,medium,"In Cast Away (2000), Hanks's character befriends a volleyball he names Wilson in one of cinema's most iconic scenes.",IMDb – Cast Away,Y6-Y11,true
"Which animated film studio produced 'Spirited Away', directed by Hayao Miyazaki?","[""Pixar"",""DreamWorks"",""Studio Ghibli"",""Madhouse""]",2,Movies,medium,"Spirited Away (2001) won the Academy Award for Best Animated Feature in 2003 — the only anime film to do so.",Academy Awards – Animated Feature,Y6-Y11,true
"Who played the role of Iron Man in the Marvel Cinematic Universe?","[""Chris Evans"",""Chris Hemsworth"",""Robert Downey Jr."",""Mark Ruffalo""]",2,Movies,medium,"Robert Downey Jr. portrayed Tony Stark / Iron Man across 10 MCU films from 2008 to 2019.",IMDb – Marvel Cinematic Universe,Y6-Y11,true
"In which classic film does the famous line 'I'll be back' appear?","[""Die Hard"",""Predator"",""Rambo"",""The Terminator""]",3,Movies,medium,"The Terminator (1984), directed by James Cameron, made Arnold Schwarzenegger a global superstar.",IMDb – The Terminator,Y6-Y11,true
"Which Asian filmmaker directed the critically acclaimed trilogy beginning with 'Memories of Murder' (2003)?","[""Wong Kar-wai"",""Park Chan-wook"",""Bong Joon-ho"",""Akira Kurosawa""]",2,Movies,medium,"Bong Joon-ho went on to direct Snowpiercer, Okja, and the Oscar-winning Parasite.",IMDb – Bong Joon-ho,Y6-Y11,true
"Which 2001 animated Japanese film is often called the greatest animated film ever made?","[""Princess Mononoke"",""Spirited Away"",""Howls Moving Castle"",""My Neighbor Totoro""]",1,Movies,medium,"Spirited Away topped many 'greatest animated films' polls and remains the highest-grossing anime film in Japan.",BFI – Greatest Films Poll,Y6-Y11,true
"Which 1972 film directed by Francis Ford Coppola is considered one of the greatest films ever made?","[""Apocalypse Now"",""Chinatown"",""The Godfather"",""Taxi Driver""]",2,Movies,hard,"The Godfather is based on Mario Puzo's 1969 novel. Marlon Brando's performance is considered one of cinema's greatest.",AFI – 100 Greatest American Films,Y6-Y11,true
"The 1979 film 'Apocalypse Now' was partly adapted from which literary work?","[""The Sun Also Rises"",""Lord of the Flies"",""Heart of Darkness"",""Things Fall Apart""]",2,Movies,hard,"Joseph Conrad's novella Heart of Darkness (1899) set in the Congo inspired Coppola's Vietnam War epic.",IMDb – Apocalypse Now,Y6-Y11,true
"In which year was the first feature-length sound film 'The Jazz Singer' released?","[""1922"",""1925"",""1927"",""1930""]",2,Movies,hard,"The Jazz Singer (1927) starring Al Jolson was the first feature film with synchronised dialogue.",Library of Congress – Film History,Y6-Y11,true
"Which Vietnamese-French filmmaker directed the Oscar-nominated 'The Scent of Green Papaya'?","[""Wong Kar-wai"",""Park Chan-wook"",""Trần Anh Hùng"",""Apichatpong Weerasethakul""]",2,Movies,hard,"Trần Anh Hùng was born in Hội An, Vietnam, and grew up in France. He continues to make internationally acclaimed films.",IMDb – Trần Anh Hùng,Y6-Y11,true
"Which famous shower scene film was directed by Alfred Hitchcock?","[""Vertigo"",""Rear Window"",""The Birds"",""Psycho""]",3,Movies,hard,"Psycho (1960) revolutionised horror filmmaking. The famous shower scene used 70+ camera angles in 45 seconds.",IMDb – Psycho,Y6-Y11,true
"What is the term for a cinematic shot filmed from an extremely low angle, looking up?","[""Birds eye view"",""Dutch angle"",""Worms eye view"",""Pan shot""]",2,Movies,hard,"Directors use the worm's eye view to make subjects appear powerful or threatening.",BFI – Cinematography Techniques,Y6-Y11,true
"Which film is widely considered the first science fiction blockbuster?","[""2001 A Space Odyssey"",""Close Encounters of the Third Kind"",""Star Wars"",""Alien""]",2,Movies,hard,"Star Wars (1977) by George Lucas revolutionised special effects and created the modern blockbuster era.",American Film Institute,Y6-Y11,true
"The concept of the Bechdel Test is used to evaluate what in films?","[""Box office performance"",""Representation of women"",""Narrative structure"",""Production budget""]",1,Movies,hard,"A film passes the Bechdel Test if it has two named women who talk to each other about something other than a man.",Bechdel Test Foundation,Y6-Y11,true
"Which country's film industry is known as Bollywood?","[""Pakistan"",""Bangladesh"",""Nepal"",""India""]",3,Movies,hard,"Bollywood, based in Mumbai, produces around 1,000 films per year, more than Hollywood.",India's Film Federation,Y6-Y11,true
"Which 2013 film by Alfonso Cuarón depicts survival in outer space?","[""Interstellar"",""The Martian"",""Gravity"",""Ad Astra""]",2,Movies,hard,"Gravity won 7 Academy Awards including Best Director and was praised for its technically accurate depiction of space.",Academy Awards – 86th Ceremony,Y6-Y11,true
"How many strings does a standard violin have?","[""3"",""4"",""5"",""6""]",1,Music,easy,"A violin's four strings are tuned G, D, A, E from lowest to highest pitch.",Royal College of Music,Y6-Y11,true
"Which K-pop group released the hit songs Dynamite and Butter?","[""EXO"",""BLACKPINK"",""TWICE"",""BTS""]",3,Music,easy,"BTS became the first K-pop act to debut at No. 1 on the Billboard Hot 100 with Dynamite in 2020.",Billboard – BTS,Y6-Y11,true
"How many musicians are in a quartet?","[""2"",""3"",""4"",""5""]",2,Music,easy,"A quartet has 4 musicians. Famous examples include string quartets — two violins, a viola, and a cello.",Royal College of Music,Y6-Y11,true
"What is the thin stick used to conduct an orchestra called?","[""Baton"",""Bow"",""Wand"",""Staff""]",0,Music,easy,"Conducting batons became widely used in the 19th century to help synchronise large orchestras.",Royal Philharmonic Orchestra,Y6-Y11,true
"Which singer is widely known as the Queen of Pop?","[""Beyonce"",""Celine Dion"",""Madonna"",""Mariah Carey""]",2,Music,easy,"Madonna has sold over 300 million records worldwide and has been a global pop icon since the 1980s.",Rolling Stone – Madonna,Y6-Y11,true
"What is the name of the Vietnamese two-stringed bowed instrument?","[""Đàn Bầu"",""Đàn Tranh"",""Đàn Nhị"",""Trống""]",2,Music,easy,"The Đàn Nhị (Vietnamese fiddle) is used in traditional music, Cải Lương opera, and folk performances.",Vietnam Museum of Ethnology,Y6-Y11,true
"In music notation, what symbol indicates silence for a specified duration?","[""Clef"",""Rest"",""Sharp"",""Flat""]",1,Music,easy,"Rests are as important as notes in music — silence creates tension, rhythm, and expression.",Khan Academy – Music Notation,Y6-Y11,true
"How many keys does a standard piano have?","[""76"",""80"",""88"",""92""]",2,Music,easy,"The 88 keys of a standard piano cover 7 octaves plus a minor third, from A0 to C8.",Steinway & Sons,Y6-Y11,true
"What is the world's largest musical instrument by size?","[""Pipe organ"",""Grand piano"",""Double bass"",""Tuba""]",0,Music,easy,"The world's largest playable pipe organ is the Wanamaker Organ in Philadelphia with nearly 30,000 pipes.",Guinness World Records – Largest Organ,Y6-Y11,true
"In music, what does the Italian term 'forte' mean?","[""Slow"",""Soft"",""Loud"",""Fast""]",2,Music,easy,"Dynamic markings in music range from pp (pianissimo = very soft) to ff (fortissimo = very loud).",ABRSM – Music Theory,Y6-Y11,true
"What is the name of the Vietnamese traditional music genre recognised by UNESCO as intangible cultural heritage?","[""Quan Họ"",""Ca Trù"",""Nhã Nhạc"",""Đờn Ca Tài Tử""]",2,Music,medium,"Nhã Nhạc (Vietnamese court music) from Huế was recognised by UNESCO in 2003 as an intangible heritage.",UNESCO – Nhã Nhạc,Y6-Y11,true
"Who composed the famous piece 'Für Elise'?","[""Wolfgang Mozart"",""Johann Sebastian Bach"",""Ludwig van Beethoven"",""Franz Schubert""]",2,Music,medium,"Beethoven composed Für Elise around 1810 but it was not published until 40 years after his death.",Beethoven-Haus Bonn,Y6-Y11,true
"What is the name of the scale that uses only five notes per octave?","[""Diatonic scale"",""Chromatic scale"",""Pentatonic scale"",""Whole tone scale""]",2,Music,medium,"The pentatonic scale is used in folk music from Vietnam, China, and across Africa and the Americas.",Khan Academy – Music Scales,Y6-Y11,true
"What is the time signature of a waltz?","[""2/4"",""3/4"",""4/4"",""6/8""]",1,Music,medium,"The waltz's distinctive one-two-three rhythm comes from its 3/4 time signature — one strong beat followed by two weak ones.",Vienna Philharmonic,Y6-Y11,true
"How many semitones are there in one octave?","[""8"",""10"",""12"",""14""]",2,Music,medium,"An octave contains 12 semitones. On a piano, these are the 7 white keys and 5 black keys within one octave.",ABRSM – Music Theory Grade 5,Y6-Y11,true
"Which music streaming platform has the most global subscribers?","[""Apple Music"",""YouTube Music"",""Tidal"",""Spotify""]",3,Music,medium,"Spotify had over 600 million active users as of 2024, making it the world's largest audio streaming service.",Spotify – Investor Relations,Y6-Y11,true
"What is the term for gradually getting louder in music?","[""Decrescendo"",""Fortissimo"",""Crescendo"",""Pianissimo""]",2,Music,medium,"A crescendo (shown as < in notation) gradually increases volume. Decrescendo or diminuendo decreases it.",ABRSM – Music Dynamics,Y6-Y11,true
"In music theory, what is a chord made of exactly three notes called?","[""Interval"",""Chord"",""Triad"",""Arpeggio""]",2,Music,medium,"A triad consists of a root note, a third, and a fifth. Major and minor triads are the building blocks of most music.",Khan Academy – Music Theory,Y6-Y11,true
"What is the Vietnamese one-stringed zither known for producing haunting expressive tones?","[""Đàn Tranh"",""Đàn Bầu"",""Đàn Nhị"",""Đàn Tỳ Bà""]",1,Music,medium,"The Đàn Bầu uses a flexible rod to bend the single string's pitch, creating its uniquely expressive sliding sound.",Vietnam Museum of Ethnology,Y6-Y11,true
"Who composed 'The Four Seasons', a set of violin concertos?","[""Johann Sebastian Bach"",""Antonio Vivaldi"",""George Frideric Handel"",""Franz Joseph Haydn""]",1,Music,medium,"Vivaldi composed The Four Seasons around 1723. Each concerto depicts a different season with vivid musical imagery.",Encyclopaedia Britannica – Vivaldi,Y6-Y11,true
"What is the term for the simultaneous use of two or more musical keys?","[""Polytonality"",""Atonality"",""Bitonality"",""Chromaticism""]",0,Music,hard,"Polytonality was explored by composers like Stravinsky and Bartók in the early 20th century.",Grove Music Online – Polytonality,Y6-Y11,true
"Which composer wrote the opera 'The Magic Flute'?","[""Giuseppe Verdi"",""Richard Wagner"",""Wolfgang Amadeus Mozart"",""Ludwig van Beethoven""]",2,Music,hard,"The Magic Flute (Die Zauberflöte, 1791) was Mozart's last opera, completed just two months before his death.",Encyclopaedia Britannica – The Magic Flute,Y6-Y11,true
"What is the interval between two notes of the same name in adjacent octaves called?","[""Unison"",""Fifth"",""Seventh"",""Octave""]",3,Music,hard,"An octave doubles the frequency of a note. A4 (440 Hz) is an octave above A3 (220 Hz).",ABRSM – Music Theory,Y6-Y11,true
"Which Vietnamese song written by Văn Cao in 1944 became the national anthem?","[""Tiến Quân Ca"",""Giải Phóng Miền Nam"",""Quốc Ca"",""Đoàn Quân Việt Nam Đi""]",0,Music,hard,"Tiến Quân Ca (Marching to the Front) was composed when Văn Cao was only 20 years old and adopted as the anthem in 1945.",Vietnam Ministry of Culture,Y6-Y11,true
"Which 20th-century composer's 'The Rite of Spring' caused a riot at its Paris premiere in 1913?","[""Claude Debussy"",""Sergei Prokofiev"",""Dmitri Shostakovich"",""Igor Stravinsky""]",3,Music,hard,"The Rite of Spring's dissonant harmonies and unconventional choreography shocked Parisian audiences in 1913.",Encyclopaedia Britannica – Stravinsky,Y6-Y11,true
"What is the musical form where a main theme alternates with contrasting episodes?","[""Sonata form"",""Fugue"",""Rondo"",""Theme and variations""]",2,Music,hard,"Rondo form is often written as ABACABA. Mozart used it frequently in the final movements of his concertos.",ABRSM – Musical Forms,Y6-Y11,true
"What is the term for a musical technique where a theme is imitated in succession by different voices?","[""Harmony"",""Canon"",""Counterpoint"",""Modulation""]",1,Music,hard,"A canon uses strict melodic imitation. The children's song 'Row Your Boat' is a simple example of a canon.",Grove Music Online – Canon,Y6-Y11,true
"Which composer is associated with the development of the symphony as a major musical form?","[""Beethoven"",""Brahms"",""Haydn"",""Schubert""]",2,Music,hard,"Franz Joseph Haydn wrote 106 symphonies and is often called the Father of the Symphony.",Encyclopaedia Britannica – Haydn,Y6-Y11,true
"What is the term for a note that is played slightly below the standard pitch, often used in blues and jazz?","[""Sharp"",""Flat"",""Blue note"",""Grace note""]",2,Music,hard,"Blue notes, played slightly flat on the 3rd, 5th, and 7th degrees, give blues music its distinctive emotional quality.",Grove Music Online – Blue Note,Y6-Y11,true
"In a standard Western orchestral score, which clef does the cello typically read?","[""Treble clef"",""Bass clef"",""Alto clef"",""Tenor clef""]",1,Music,hard,"Cellists also use the tenor and treble clef for higher passages but the bass clef is their primary reading clef.",ABRSM – Orchestral Instruments,Y6-Y11,true
"Who created the fictional detective Sherlock Holmes?","[""Agatha Christie"",""Arthur Conan Doyle"",""Edgar Allan Poe"",""Raymond Chandler""]",1,Literature,easy,"Arthur Conan Doyle published the first Sherlock Holmes story in 1887. The detective lives at 221B Baker Street.",British Library – Sherlock Holmes,Y6-Y11,true
"Who wrote 'Harry Potter and the Philosopher's Stone'?","[""Roald Dahl"",""C.S. Lewis"",""J.K. Rowling"",""J.R.R. Tolkien""]",2,Literature,easy,"J.K. Rowling wrote the first Harry Potter book in Edinburgh cafes, publishing it in 1997 after many rejections.",British Library – Harry Potter,Y6-Y11,true
"What is the name of the main character in 'The Diary of a Wimpy Kid'?","[""Greg Heffley"",""Tom Henderson"",""Charlie Bucket"",""Jeff Kinney""]",0,Literature,easy,"Greg Heffley was created by author Jeff Kinney, whose books have sold over 250 million copies worldwide.",Penguin Books – Wimpy Kid,Y6-Y11,true
"Which Shakespeare play features three witches who say 'Double double toil and trouble'?","[""Hamlet"",""Othello"",""Macbeth"",""King Lear""]",2,Literature,easy,"Macbeth was written around 1606. The three witches (or Weird Sisters) prophesize Macbeth's rise to power.",Royal Shakespeare Company – Macbeth,Y6-Y11,true
"In 'The Lion the Witch and the Wardrobe', what is the name of the magical land?","[""Oz"",""Neverland"",""Narnia"",""Wonderland""]",2,Literature,easy,"C.S. Lewis published The Lion, the Witch and the Wardrobe in 1950. Narnia can only be entered through a magic wardrobe.",British Library – C.S. Lewis,Y6-Y11,true
"Who wrote 'Romeo and Juliet'?","[""Charles Dickens"",""Jane Austen"",""William Shakespeare"",""Homer""]",2,Literature,easy,"Romeo and Juliet was written around 1594–1596 and remains one of the most performed plays in the world.",Royal Shakespeare Company,Y6-Y11,true
"What is the name of the hobbit in J.R.R. Tolkien's 'The Hobbit'?","[""Frodo"",""Sam"",""Gandalf"",""Bilbo""]",3,Literature,easy,"Bilbo Baggins lives at Bag End in the Shire and later passes his magic ring to his nephew Frodo.",Tolkien Society,Y6-Y11,true
"In 'Alice's Adventures in Wonderland', what does Alice follow down the rabbit hole?","[""A cat"",""A White Rabbit"",""A mad hatter"",""A red queen""]",1,Literature,easy,"Alice's Adventures in Wonderland was written by Lewis Carroll (Charles Dodgson) and published in 1865.",British Library – Alice,Y6-Y11,true
"What is the longest epic poem in world literature?","[""The Iliad"",""The Mahabharata"",""The Odyssey"",""Paradise Lost""]",1,Literature,easy,"The Mahābhārata has over 200,000 verses — roughly 10 times the length of the Iliad and Odyssey combined.",UNESCO – Indian Literature,Y6-Y11,true
